pollster,candidate,percentage
Pollster 13,Candidate 2,0.12127137731207639
Pollster 13,Candidate 3,0.12695071272283934
Pollster 13,Candidate 4,0.721520504765149
Pollster 14,Candidate 1,0.031545010777364484
Pollster 14,Candidate 2,0.09655295915387896
Pollster 14,Candidate 3,0.42173454778027425
Pollster 14,Candidate 4,0.4501674822884823
Pollster 15,Candidate 1,0.10340053865643552
Pollster 15,Candidate 2,0.4164264205936959
Pollster 15,Candidate 3,0.36244230662969945
Pollster 15,Candidate 4,0.11773073412016917
Pollster 16,Candidate 1,0.27897428322059487
Pollster 16,Candidate 2,0.09399655511134469
Pollster 16,Candidate 3,0.37821136638240505
Pollster 16,Candidate 4,0.2488177952856554
Pollster 17,Candidate 1,0.11211685856458804
Pollster 17,Candidate 2,0.056372381227815856
Pollster 17,Candidate 3,0.46084668174582416
Pollster 17,Candidate 4,0.37066407846177196
Pollster 18,Candidate 1,0.29746241606388085
Pollster 18,Candidate 2,0.28677971798494595
Pollster 18,Candidate 3,0.005892687005596371
Pollster 18,Candidate 4,0.4098651789455768
Pollster 19,Candidate 1,0.17215598797713202
Pollster 19,Candidate 2,0.44939990730427254
Pollster 19,Candidate 3,0.08981959083875106
Pollster 19,Candidate 4,0.2886245138798444
Pollster 20,Candidate 1,0.5217796130867418
Pollster 20,Candidate 2,0.058954345136404365
Pollster 20,Candidate 3,0.2714742568247604
Pollster 20,Candidate 4,0.14779178495209339
Pollster 21,Candidate 1,0.1312198585338323
Pollster 21,Candidate 2,0.5958820541149609
Pollster 21,Candidate 3,0.18404552883451175
Pollster 21,Candidate 4,0.08885255851669506
Pollster 22,Candidate 1,0.28643966840972424
Pollster 22,Candidate 2,0.25747304015379624
Pollster 22,Candidate 3,0.21940638865544193
Pollster 22,Candidate 4,0.23668090278103757
Pollster 23,Candidate 1,0.27798698303691355
Pollster 23,Candidate 2,0.21327003811061382
Pollster 23,Candidate 3,0.1730742806135942
Pollster 23,Candidate 4,0.33566869823887846
Pollster 24,Candidate 1,0.37919336897269945
Pollster 24,Candidate 2,0.10415997202963187
Pollster 24,Candidate 3,0.02455855203037739
Pollster 24,Candidate 4,0.49208810696729127
Pollster 25,Candidate 1,0.08630615286402185
Pollster 25,Candidate 2,0.3530523841626664
Pollster 25,Candidate 3,0.3939934148017883
Pollster 25,Candidate 4,0.16664804817152348
Pollster 26,Candidate 1,0.14740206767867928
Pollster 26,Candidate 2,0.3148649711061808
Pollster 26,Candidate 3,0.30678657192841846
Pollster 26,Candidate 4,0.23094638928672148
Pollster 27,Candidate 1,0.425878760905545
Pollster 27,Candidate 2,0.11995185584792437
Pollster 27,Candidate 3,0.3057878553399006
Pollster 27,Candidate 4,0.14838152790663003
Pollster 28,Candidate 1,0.4007656191633789
Pollster 28,Candidate 2,0.25617651150565707
Pollster 28,Candidate 3,0.13602075955180323
Pollster 28,Candidate 4,0.20703710977916087
Pollster 29,Candidate 1,0.2161646782011618
Pollster 29,Candidate 2,0.472031414930402
Pollster 29,Candidate 3,0.2746607407316262
Pollster 29,Candidate 4,0.037143166136809985
Pollster 30,Candidate 1,0.3406717794537569
Pollster 30,Candidate 2,0.05012178074318648
Pollster 30,Candidate 3,0.20919656961439373
Pollster 30,Candidate 4,0.4000098701886629
Pollster 31,Candidate 1,0.0970298447582571
Pollster 31,Candidate 2,0.3223913519846033
Pollster 31,Candidate 3,0.21242727594545124
Pollster 31,Candidate 4,0.3681515273116884
Pollster 32,Candidate 1,0.3586692877004458
Pollster 32,Candidate 2,0.35337954909710323
Pollster 32,Candidate 3,0.06814511853073203
Pollster 32,Candidate 4,0.21980604467171888
Pollster 33,Candidate 1,0.23996935067327446
Pollster 33,Candidate 2,0.21194724297545287
Pollster 33,Candidate 3,0.215406471627253
Pollster 33,Candidate 4,0.33267693472401966
Pollster 34,Candidate 1,0.2725989233355679
Pollster 34,Candidate 2,0.4502534813784822
Pollster 34,Candidate 3,0.26506891471557903
Pollster 34,Candidate 4,0.012078680570370889
Pollster 35,Candidate 1,0.25633347130835726
Pollster 35,Candidate 2,0.35696474864036226
Pollster 35,Candidate 3,0.26449810568676174
Pollster 35,Candidate 4,0.12220367436451875
Pollster 36,Candidate 1,0.3575198466760086
Pollster 36,Candidate 2,0.2771227802167134
Pollster 36,Candidate 3,0.07997623793895507
Pollster 36,Candidate 4,0.2853811351683229
Pollster 37,Candidate 1,0.3163643158700008
Pollster 37,Candidate 2,0.24851364715961966
Pollster 37,Candidate 3,0.12271131015666412
Pollster 37,Candidate 4,0.3124107268137154
Pollster 38,Candidate 1,0.05351288660692655
Pollster 38,Candidate 2,0.17313354604163997
Pollster 38,Candidate 3,0.16353821319970743
Pollster 38,Candidate 4,0.609815354151726
Pollster 39,Candidate 1,0.24261687653003508
Pollster 39,Candidate 2,0.12146858045819457
Pollster 39,Candidate 3,0.3710586169370023
Pollster 39,Candidate 4,0.26485592607476804
Pollster 40,Candidate 1,0.23114314679862255
Pollster 40,Candidate 2,0.16543328329445017
Pollster 40,Candidate 3,0.35877386993663013
Pollster 40,Candidate 4,0.24464969997029717
Pollster 41,Candidate 1,0.3328071748533774
Pollster 41,Candidate 2,0.27240643203203135
Pollster 41,Candidate 3,0.08505095677859606
Pollster 41,Candidate 4,0.30973543633599515
Pollster 42,Candidate 1,0.149903480729184
Pollster 42,Candidate 2,0.3221740929608986
Pollster 42,Candidate 3,0.17523226848674048
Pollster 42,Candidate 4,0.3526901578231769
Pollster 43,Candidate 1,0.07121180790983664
Pollster 43,Candidate 2,0.07072714397281027
Pollster 43,Candidate 3,0.42933544709118265
Pollster 43,Candidate 4,0.42872560102617047
Pollster 44,Candidate 1,0.04570365476746647
Pollster 44,Candidate 2,0.20451270094684307
Pollster 44,Candidate 3,0.4295704649192402
Pollster 44,Candidate 4,0.3202131793664503
Pollster 45,Candidate 1,0.22720325204584121
Pollster 45,Candidate 2,0.26734717774274425
Pollster 45,Candidate 3,0.22180645610018201
Pollster 45,Candidate 4,0.28364311411123255
Pollster 46,Candidate 1,0.2377747468673666
Pollster 46,Candidate 2,0.3829545615470569
Pollster 46,Candidate 3,0.07211134682888831
Pollster 46,Candidate 4,0.30715934475668816
Pollster 47,Candidate 1,0.2569119378140718
Pollster 47,Candidate 2,0.06634010664729899
Pollster 47,Candidate 3,0.34081572931528353
Pollster 47,Candidate 4,0.3359322262233457
Pollster 48,Candidate 1,0.02235436734024752
Pollster 48,Candidate 2,0.48709827770434244
Pollster 48,Candidate 3,0.3148049381319045
Pollster 48,Candidate 4,0.1757424168235055
Pollster 49,Candidate 1,0.07541415754646247
Pollster 49,Candidate 2,0.13484394321081833
Pollster 49,Candidate 3,0.5471583097184101
Pollster 49,Candidate 4,0.2425835895243091
Pollster 50,Candidate 1,0.316614529066981
Pollster 50,Candidate 2,0.13388690206558668
Pollster 50,Candidate 3,0.3198264703663328
Pollster 50,Candidate 4,0.2296720985010995
Pollster 51,Candidate 1,0.1629658565475472
Pollster 51,Candidate 2,0.33634720334553975
Pollster 51,Candidate 3,0.3677190395783052
Pollster 51,Candidate 4,0.13296790052860782
Pollster 52,Candidate 1,0.30971273204622546
Pollster 52,Candidate 2,0.3930462663596047
Pollster 52,Candidate 3,0.18205485823110784
Pollster 52,Candidate 4,0.11518614336306199
Pollster 53,Candidate 1,0.19734549402772278
Pollster 53,Candidate 2,0.33300266999356193
Pollster 53,Candidate 3,0.3323125284671588
Pollster 53,Candidate 4,0.13733930751155654
Pollster 54,Candidate 1,0.2758872903166944
Pollster 54,Candidate 2,0.10916477789140944
Pollster 54,Candidate 3,0.2612637295109252
Pollster 54,Candidate 4,0.35368420228097097
Pollster 55,Candidate 1,0.40278598930148574
Pollster 55,Candidate 2,0.3939774701870466
Pollster 55,Candidate 3,0.08415734984124792
Pollster 55,Candidate 4,0.11907919067021974
Pollster 56,Candidate 1,0.2189246760064641
Pollster 56,Candidate 2,0.43977309306397616
Pollster 56,Candidate 3,0.0036495535479013088
Pollster 56,Candidate 4,0.33765267738165844
Pollster 57,Candidate 1,0.004468431932856267
Pollster 57,Candidate 2,0.3587094770484212
Pollster 57,Candidate 3,0.3355152135940242
Pollster 57,Candidate 4,0.3013068774246983
Pollster 58,Candidate 1,0.17074965119107616
Pollster 58,Candidate 2,0.32156929011115126
Pollster 58,Candidate 3,0.43355866476540306
Pollster 58,Candidate 4,0.07412239393236954
Pollster 59,Candidate 1,0.3588635120026285
Pollster 59,Candidate 2,0.2881581744303077
Pollster 59,Candidate 3,0.33891667636859696
Pollster 59,Candidate 4,0.014061637198466759
Pollster 60,Candidate 1,0.30719327888281994
Pollster 60,Candidate 2,0.28774110660145086
Pollster 60,Candidate 3,0.34345812585718793
Pollster 60,Candidate 4,0.061607488658541286
Pollster 61,Candidate 1,0.4025366078939378
Pollster 61,Candidate 2,0.23373642193749256
Pollster 61,Candidate 3,0.21592317008397727
Pollster 61,Candidate 4,0.1478038000845924
Pollster 62,Candidate 1,0.05504828404712177
Pollster 62,Candidate 2,0.5767254420846663
Pollster 62,Candidate 3,0.07496617628626208
Pollster 62,Candidate 4,0.29326009758194993
Pollster 63,Candidate 1,0.16478691910100715
Pollster 63,Candidate 2,0.2525971103116277
Pollster 63,Candidate 3,0.2615734599833169
Pollster 63,Candidate 4,0.32104251060404826
Pollster 64,Candidate 1,0.2514888615624855
Pollster 64,Candidate 2,0.3314209733311155
Pollster 64,Candidate 3,0.26106782689877056
Pollster 64,Candidate 4,0.1560223382076285
Pollster 65,Candidate 1,0.07776792822387116
Pollster 65,Candidate 2,0.09010575067686098
Pollster 65,Candidate 3,0.3539329755054608
Pollster 65,Candidate 4,0.47819334559380705
Pollster 66,Candidate 1,0.22984419501523062
Pollster 66,Candidate 2,0.3231218636925882
Pollster 66,Candidate 3,0.09782100724989272
Pollster 66,Candidate 4,0.3492129340422884
Pollster 67,Candidate 1,0.3904201922402916
Pollster 67,Candidate 2,0.16016767073311583
Pollster 67,Candidate 3,0.06266867917439814
Pollster 67,Candidate 4,0.3867434578521944
Pollster 68,Candidate 1,0.27041300344408664
Pollster 68,Candidate 2,0.22615400220167528
Pollster 68,Candidate 3,0.2916322146389209
Pollster 68,Candidate 4,0.2118007797153172
Pollster 69,Candidate 1,0.2342891910407634
Pollster 69,Candidate 2,0.2868359739837357
Pollster 69,Candidate 3,0.3039037522355672
Pollster 69,Candidate 4,0.17497108273993367
Pollster 70,Candidate 1,0.1678607091938309
Pollster 70,Candidate 2,0.12804257452616338
Pollster 70,Candidate 3,0.2817843480497624
Pollster 70,Candidate 4,0.4223123682302434
Pollster 71,Candidate 1,0.1310797112500657
Pollster 71,Candidate 2,0.5239087276151028
Pollster 71,Candidate 3,0.30274232818518515
Pollster 71,Candidate 4,0.042269232949646386
Pollster 72,Candidate 1,0.17227843973593876
Pollster 72,Candidate 2,0.03981413397840917
Pollster 72,Candidate 3,0.5263392689555292
Pollster 72,Candidate 4,0.26156815733012284
Pollster 73,Candidate 1,0.17165918784369918
Pollster 73,Candidate 2,0.3489413443265143
Pollster 73,Candidate 3,0.24544977931809897
Pollster 73,Candidate 4,0.23394968851168751
Pollster 74,Candidate 1,0.19164270232012043
Pollster 74,Candidate 2,0.11636306883808968
Pollster 74,Candidate 3,0.2514486205808676
Pollster 74,Candidate 4,0.4405456082609223
Pollster 75,Candidate 1,0.21122304608461895
Pollster 75,Candidate 2,0.07211027877916615
Pollster 75,Candidate 3,0.5900115376196464
Pollster 75,Candidate 4,0.12665513751656843
Pollster 76,Candidate 1,0.12360957053870675
Pollster 76,Candidate 2,0.3214749098109816
Pollster 76,Candidate 3,0.1484353740368889
Pollster 76,Candidate 4,0.40648014561342277
Pollster 77,Candidate 1,0.3572497947587767
Pollster 77,Candidate 2,0.2965920588626912
Pollster 77,Candidate 3,0.23572988558822414
Pollster 77,Candidate 4,0.11042826079030793
Pollster 78,Candidate 1,0.42329846109235225
Pollster 78,Candidate 2,0.10028224860699232
Pollster 78,Candidate 3,0.47413592078474037
Pollster 78,Candidate 4,0.002283369515915026
Pollster 79,Candidate 1,0.18222444419767922
Pollster 79,Candidate 2,0.29200086178752743
Pollster 79,Candidate 3,0.17660729997208766
Pollster 79,Candidate 4,0.34916739404270564
Pollster 80,Candidate 1,0.1767490194609258
Pollster 80,Candidate 2,0.3093349786158143
Pollster 80,Candidate 3,0.3643400513010756
Pollster 80,Candidate 4,0.14957595062218426
Pollster 81,Candidate 1,0.18408724552402148
Pollster 81,Candidate 2,0.2652426781992283
Pollster 81,Candidate 3,0.37753756277813844
Pollster 81,Candidate 4,0.17313251349861178
Pollster 82,Candidate 1,0.37769131541917306
Pollster 82,Candidate 2,0.48191720328349524
Pollster 82,Candidate 3,0.10756201861987337
Pollster 82,Candidate 4,0.03282946267745834
Pollster 83,Candidate 1,0.26442311404542485
Pollster 83,Candidate 2,0.2465370760533535
Pollster 83,Candidate 3,0.30557519437121206
Pollster 83,Candidate 4,0.18346461553000956
Pollster 84,Candidate 1,0.42441608176575873
Pollster 84,Candidate 2,0.0037840711592756543
Pollster 84,Candidate 3,0.44264789733275106
Pollster 84,Candidate 4,0.12915194974221456
Pollster 85,Candidate 1,0.16654588465107453
Pollster 85,Candidate 2,0.18346575554732597
Pollster 85,Candidate 3,0.021736946269903478
Pollster 85,Candidate 4,0.628251413531696
Pollster 86,Candidate 1,0.28874304208018886
Pollster 86,Candidate 2,0.31423499059292376
Pollster 86,Candidate 3,0.023665003297599567
Pollster 86,Candidate 4,0.37335696402928786
Pollster 87,Candidate 1,0.4478847940220591
Pollster 87,Candidate 2,0.3989179753967056
Pollster 87,Candidate 3,0.12855207893180942
Pollster 87,Candidate 4,0.02464515164942592
Pollster 88,Candidate 1,0.3458253885963338
Pollster 88,Candidate 2,0.21164556767045822
Pollster 88,Candidate 3,0.19870333530205625
Pollster 88,Candidate 4,0.2438257084311517
Pollster 89,Candidate 1,0.03299476210131182
Pollster 89,Candidate 2,0.30946187261651636
Pollster 89,Candidate 3,0.3610560753811449
Pollster 89,Candidate 4,0.2964872899010269
Pollster 90,Candidate 1,0.3648281810094979
Pollster 90,Candidate 2,0.13723364942246202
Pollster 90,Candidate 3,0.22466963625981878
Pollster 90,Candidate 4,0.2732685333082214
Pollster 91,Candidate 1,0.15747043364044405
Pollster 91,Candidate 2,0.06598717577154598
Pollster 91,Candidate 3,0.3175243659442637
Pollster 91,Candidate 4,0.4590180246437463
Pollster 92,Candidate 1,0.11784835341096651
Pollster 92,Candidate 2,0.21431991197268535
Pollster 92,Candidate 3,0.3683660810938265
Pollster 92,Candidate 4,0.2994656535225216
Pollster 93,Candidate 1,0.23760485720523825
Pollster 93,Candidate 2,0.28836058944058673
Pollster 93,Candidate 3,0.24811010245615867
Pollster 93,Candidate 4,0.22592445089801638
Pollster 94,Candidate 1,0.4227783581569792
Pollster 94,Candidate 2,0.30957596638409907
Pollster 94,Candidate 3,0.06637295583226442
Pollster 94,Candidate 4,0.2012727196266573
Pollster 95,Candidate 1,0.3497864308031368
Pollster 95,Candidate 2,0.11599279024398523
Pollster 95,Candidate 3,0.2622278309819439
Pollster 95,Candidate 4,0.2719929479709341
Pollster 96,Candidate 1,0.24154372936545987
Pollster 96,Candidate 2,0.04904050833074544
Pollster 96,Candidate 3,0.5177309996607965
Pollster 96,Candidate 4,0.19168476264299816
Pollster 97,Candidate 1,0.3461728206624332
Pollster 97,Candidate 2,0.3542699720393532
Pollster 97,Candidate 3,0.2430934718205297
Pollster 97,Candidate 4,0.056463735477683914
Pollster 98,Candidate 1,0.3211041205664369
Pollster 98,Candidate 2,0.31956512124448483
Pollster 98,Candidate 3,0.019773335043507433
Pollster 98,Candidate 4,0.33955742314557086
Pollster 99,Candidate 1,0.17872029600163555
Pollster 99,Candidate 2,0.1095213253141039
Pollster 99,Candidate 3,0.4951194501380872
Pollster 99,Candidate 4,0.21663892854617334
Pollster 100,Candidate 1,0.1333062004636995
Pollster 100,Candidate 2,0.20460599880234867
Pollster 100,Candidate 3,0.4487744127759987
Pollster 100,Candidate 4,0.2133133879579531
Pollster 101,Candidate 1,0.21972814031614724
Pollster 101,Candidate 2,0.17696469106316987
Pollster 101,Candidate 3,0.19270351248428538
Pollster 101,Candidate 4,0.41060365613639754
Pollster 102,Candidate 1,0.032430719583969966
Pollster 102,Candidate 2,0.42473419499339454
Pollster 102,Candidate 3,0.08456239390878612
Pollster 102,Candidate 4,0.45827269151384936
Pollster 103,Candidate 1,0.5428720751452403
Pollster 103,Candidate 2,0.26253266427885463
Pollster 103,Candidate 3,0.1554063238285141
Pollster 103,Candidate 4,0.039188936747390934
Pollster 104,Candidate 1,0.2599393709847301
Pollster 104,Candidate 2,0.05105862036952392
Pollster 104,Candidate 3,0.4185960659383834
Pollster 104,Candidate 4,0.2704059427073626
Pollster 105,Candidate 1,0.2609009318741186
Pollster 105,Candidate 2,0.21075546396319025
Pollster 105,Candidate 3,0.2930739614785798
Pollster 105,Candidate 4,0.23526964268411138
Pollster 106,Candidate 1,0.24134757690292688
Pollster 106,Candidate 2,0.18219332028818247
Pollster 106,Candidate 3,0.40417790003916276
Pollster 106,Candidate 4,0.17228120276972791
Pollster 107,Candidate 1,0.27789083453248953
Pollster 107,Candidate 2,0.23425816331385863
Pollster 107,Candidate 3,0.364030009539074
Pollster 107,Candidate 4,0.12382099261457787
Pollster 108,Candidate 1,0.4318213634358783
Pollster 108,Candidate 2,0.012822283368141481
Pollster 108,Candidate 3,0.46237121159139627
Pollster 108,Candidate 4,0.09298514160458393
Pollster 109,Candidate 1,0.0528343049666583
Pollster 109,Candidate 2,0.08387303551948538
Pollster 109,Candidate 3,0.2802795859704426
Pollster 109,Candidate 4,0.5830130735434137
Pollster 110,Candidate 1,0.3918472626871531
Pollster 110,Candidate 2,0.1606319395003688
Pollster 110,Candidate 3,0.25456080348579363
Pollster 110,Candidate 4,0.19295999432668448
Pollster 111,Candidate 1,0.04030874381033903
Pollster 111,Candidate 2,0.37036718635446325
Pollster 111,Candidate 3,0.21815243651824043
Pollster 111,Candidate 4,0.3711716333169573
Pollster 112,Candidate 1,0.3070863601917725
Pollster 112,Candidate 2,0.07406257553304192
Pollster 112,Candidate 3,0.20399946004791414
Pollster 112,Candidate 4,0.41485160422727146
Pollster 113,Candidate 1,0.2344226093986919
Pollster 113,Candidate 2,0.33098439881819536
Pollster 113,Candidate 3,0.14636740847689655
Pollster 113,Candidate 4,0.28822558330621617
Pollster 114,Candidate 1,0.3123511877297271
Pollster 114,Candidate 2,0.12282095591831677
Pollster 114,Candidate 3,0.17014489719693568
Pollster 114,Candidate 4,0.3946829591550205
Pollster 115,Candidate 1,0.14116913401765638
Pollster 115,Candidate 2,0.3482587184397447
Pollster 115,Candidate 3,0.25065202639502504
Pollster 115,Candidate 4,0.25992012114757385
Pollster 116,Candidate 1,0.1991923526227049
Pollster 116,Candidate 2,0.24888015679440295
Pollster 116,Candidate 3,0.1722928258498034
Pollster 116,Candidate 4,0.3796346647330887
Pollster 117,Candidate 1,0.3389000231054891
Pollster 117,Candidate 2,0.20292447509575914
Pollster 117,Candidate 3,0.3893434082490681
Pollster 117,Candidate 4,0.06883209354968368
Pollster 118,Candidate 1,0.22590922477580866
Pollster 118,Candidate 2,0.3889612561886789
Pollster 118,Candidate 3,0.1230326214686305
Pollster 118,Candidate 4,0.262096897566882
Pollster 119,Candidate 1,0.4156634039246297
Pollster 119,Candidate 2,0.41335178008429396
Pollster 119,Candidate 3,0.10503317511494532
Pollster 119,Candidate 4,0.06595164087613102
Pollster 120,Candidate 1,0.3103614088552034
Pollster 120,Candidate 2,0.3517518803796697
Pollster 120,Candidate 3,0.13863553072861498
Pollster 120,Candidate 4,0.19925118003651188
Pollster 121,Candidate 1,0.30094655147251304
Pollster 121,Candidate 2,0.2332135798690816
Pollster 121,Candidate 3,0.14365568503335482
Pollster 121,Candidate 4,0.3221841836250506
Pollster 122,Candidate 1,0.3973004988269205
Pollster 122,Candidate 2,0.4116146951724602
Pollster 122,Candidate 3,0.1709236336856673
Pollster 122,Candidate 4,0.020161172314952062
Pollster 123,Candidate 1,0.16938776077153925
Pollster 123,Candidate 2,0.03712044432053806
Pollster 123,Candidate 3,0.26628307554871616
Pollster 123,Candidate 4,0.5272087193592065
Pollster 124,Candidate 1,0.098733298219507007
Pollster 124,Candidate 2,0.2937822719466449
Pollster 124,Candidate 3,0.43751930548669293
Pollster 124,Candidate 4,0.16996512434715516
Pollster 125,Candidate 1,0.09287335891718362
Pollster 125,Candidate 2,0.4657235311842607
Pollster 125,Candidate 3,0.09761668305085158
Pollster 125,Candidate 4,0.3437864268477041
Pollster 126,Candidate 1,0.07088573676751762
Pollster 126,Candidate 2,0.2630018355555739
Pollster 126,Candidate 3,0.6640329983273058
Pollster 126,Candidate 4,0.0020794293496027355
Pollster 127,Candidate 1,0.09142537144087472
Pollster 127,Candidate 2,0.23080531939575372
Pollster 127,Candidate 3,0.5038897331636649
Pollster 127,Candidate 4,0.1738795759997066
Pollster 128,Candidate 1,0.19166044151639172
Pollster 128,Candidate 2,0.130279739250312
Pollster 128,Candidate 3,0.25058369913524853
Pollster 128,Candidate 4,0.42747612009804775
Pollster 129,Candidate 1,0.09362633261436813
Pollster 129,Candidate 2,0.32864063580931857
Pollster 129,Candidate 3,0.3780346771055982
Pollster 129,Candidate 4,0.1996983544707151
Pollster 130,Candidate 1,0.2660935320972205
Pollster 130,Candidate 2,0.3227650612184459
Pollster 130,Candidate 3,0.2057159361452333
Pollster 130,Candidate 4,0.2054254705391003
Pollster 131,Candidate 1,0.2102127997567131
Pollster 131,Candidate 2,0.21747596031313127
Pollster 131,Candidate 3,0.3062866081568134
Pollster 131,Candidate 4,0.26602463177334223
Pollster 132,Candidate 1,0.34132836593843785
Pollster 132,Candidate 2,0.05774547921511927
Pollster 132,Candidate 3,0.3739070665076162
Pollster 132,Candidate 4,0.22701908833882667
Pollster 133,Candidate 1,0.2854105951509667
Pollster 133,Candidate 2,0.39287204824606237
Pollster 133,Candidate 3,0.2099499819257494
Pollster 133,Candidate 4,0.11176737467722157
Pollster 134,Candidate 1,0.2945983082138395
Pollster 134,Candidate 2,0.3562283057427309
Pollster 134,Candidate 3,0.040962831248672865
Pollster 134,Candidate 4,0.30821055479475673
Pollster 135,Candidate 1,0.35868026871544484
Pollster 135,Candidate 2,0.24275306917046494
Pollster 135,Candidate 3,0.35033408077171746
Pollster 135,Candidate 4,0.048232581342372786
Pollster 136,Candidate 1,0.194533953366241
Pollster 136,Candidate 2,0.21116165238037668
Pollster 136,Candidate 3,0.24714237453717616
Pollster 136,Candidate 4,0.34716201971620614
Pollster 137,Candidate 1,0.14915322526728397
Pollster 137,Candidate 2,0.29419735648471323
Pollster 137,Candidate 3,0.0539524796553032
Pollster 137,Candidate 4,0.5026969385926996
Pollster 138,Candidate 1,0.4584216493800475
Pollster 138,Candidate 2,0.008784934103063071
Pollster 138,Candidate 3,0.035146476266662764
Pollster 138,Candidate 4,0.4976469402502267
Pollster 139,Candidate 1,0.3952591654406815
Pollster 139,Candidate 2,0.24137732680046176
Pollster 139,Candidate 3,0.062415511428333244
Pollster 139,Candidate 4,0.3009479963305235
Pollster 140,Candidate 1,0.2743812295346532
Pollster 140,Candidate 2,0.020107385962604304
Pollster 140,Candidate 3,0.6806437543854319
Pollster 140,Candidate 4,0.024867630117310587
Pollster 141,Candidate 1,0.34609383770367874
Pollster 141,Candidate 2,0.2748572704236963
Pollster 141,Candidate 3,0.23258844310682114
Pollster 141,Candidate 4,0.14646044876580386
Pollster 142,Candidate 1,0.15056544141262942
Pollster 142,Candidate 2,0.36459893587967046
Pollster 142,Candidate 3,0.38135906790597485
Pollster 142,Candidate 4,0.10347655480172525
Pollster 143,Candidate 1,0.06182261066525895
Pollster 143,Candidate 2,0.41537366606887277
Pollster 143,Candidate 3,0.14723890436534914
Pollster 143,Candidate 4,0.3755648189005192
Pollster 144,Candidate 1,0.2662499863767048
Pollster 144,Candidate 2,0.2819543206738356
Pollster 144,Candidate 3,0.27702746440551584
Pollster 144,Candidate 4,0.17476822854394378
Pollster 145,Candidate 1,0.5923936081003054
Pollster 145,Candidate 2,0.012597853523675082
Pollster 145,Candidate 3,0.3901308355217194
Pollster 145,Candidate 4,0.004877702854300128
Pollster 146,Candidate 1,0.2198351174968984
Pollster 146,Candidate 2,0.4008025097902283
Pollster 146,Candidate 3,0.038965716456952786
Pollster 146,Candidate 4,0.3403966562559205
Pollster 147,Candidate 1,0.13014431102261434
Pollster 147,Candidate 2,0.42049176235716845
Pollster 147,Candidate 3,0.42018201955207984
Pollster 147,Candidate 4,0.029181907068137402
Pollster 148,Candidate 1,0.1901304632840364
Pollster 148,Candidate 2,0.17802729586194166
Pollster 148,Candidate 3,0.35039946631713703
Pollster 148,Candidate 4,0.28144277453688493
Pollster 149,Candidate 1,0.07517232656667636
Pollster 149,Candidate 2,0.39483713072618654
Pollster 149,Candidate 3,0.15980763686670435
Pollster 149,Candidate 4,0.3701829058404328
Pollster 150,Candidate 1,0.39144397361386185
Pollster 150,Candidate 2,0.2527934359996895
Pollster 150,Candidate 3,0.3000818350792281
Pollster 150,Candidate 4,0.055680755307220574
Pollster 151,Candidate 1,0.1921011976123986
Pollster 151,Candidate 2,0.4302817157467906
Pollster 151,Candidate 3,0.13341728923865465
Pollster 151,Candidate 4,0.24419979740215617
Pollster 152,Candidate 1,0.4047523667807362
Pollster 152,Candidate 2,0.3729851066751503
Pollster 152,Candidate 3,0.051008038510486374
Pollster 152,Candidate 4,0.1712544880336272
