pollster,answer,percentage,count
Cygnal,Oliver,2.314814814814815,5
Cygnal,Pence,1.3888888888888888,3
Cygnal,Stein,6.944444444444445,15
Cygnal,Terry,1.3888888888888888,3
Cygnal,Trump,30.09259259259259,65
Cygnal,West,6.481481481481481,14
Cygnal/Aspect Strategic,Biden,50,1
Cygnal/Aspect Strategic,Trump,50,1
DHM Research,Biden,10,1
DHM Research,Harris,10,1
DHM Research,Shapiro,10,1
DHM Research,Trump,50,5
DHM Research,Warnock,10,1
DHM Research,Whitmer,10,1
Dan Jones,Biden,50,1
Dan Jones,Trump,50,1
Data Orbital,Biden,20,1
Data Orbital,Harris,20,1
Data Orbital,Kennedy,20,1
Data Orbital,Trump,40,2
Data Viewpoint,Biden,50,2
Data Viewpoint,Haley,25,1
Data Viewpoint,Trump,25,1
Data for Progress,Biden,18.333333333333332,11
Data for Progress,Booker,1.6666666666666667,1
Data for Progress,Buttigieg,1.6666666666666667,1
Data for Progress,Harris,10,6
Data for Progress,Hogan,1.6666666666666667,1
Data for Progress,Kennedy,5,3
Data for Progress,Klobuchar,1.6666666666666667,1
Data for Progress,Newsom,1.6666666666666667,1
Data for Progress,Oliver,3.3333333333333335,2
Data for Progress,Pritzker,1.6666666666666667,1
Data for Progress,Shapiro,1.6666666666666667,1
Data for Progress,Stein,5,3
Data for Progress,Trump,40,24
Data for Progress,West,5,3
Data for Progress,Whitmer,1.6666666666666667,1
Differentiators,Biden,50,2
Differentiators,DeSantis,25,1
Differentiators,Trump,25,1
Digital Research,Biden,32,8
Digital Research,Kennedy,16,4
Digital Research,Stein,12,3
Digital Research,Trump,32,8
Digital Research,West,8,2
EPIC/MRA,Biden,33.33333333333333,12
EPIC/MRA,DeSantis,2.7777777777777777,1
EPIC/MRA,Haley,2.7777777777777777,1
EPIC/MRA,Harris,5.555555555555555,2
EPIC/MRA,Kennedy,8.333333333333332,3
EPIC/MRA,Stein,8.333333333333332,3
EPIC/MRA,Trump,33.33333333333333,12
EPIC/MRA,West,5.555555555555555,2
East Carolina University,Biden,18.421052631578945,7
East Carolina University,Haley,2.631578947368421,1
East Carolina University,Harris,7.894736842105263,3
East Carolina University,Kennedy,7.894736842105263,3
East Carolina University,Oliver,7.894736842105263,3
East Carolina University,Stein,15.789473684210526,6
East Carolina University,Terry,2.631578947368421,1
East Carolina University,Trump,23.684210526315788,9
East Carolina University,West,13.157894736842104,5
Echelon Insights,Biden,35.645933014354064,149
Echelon Insights,Buttigieg,0.23923444976076555,1
Echelon Insights,Cheney,0.4784688995215311,2
Echelon Insights,Clinton,0.23923444976076555,1
Echelon Insights,Cohen,0.23923444976076555,1
Echelon Insights,Cuban,0.23923444976076555,1
Echelon Insights,DeSantis,9.569377990430622,40
Echelon Insights,Haley,1.1961722488038278,5
Echelon Insights,Harris,3.588516746411483,15
Echelon Insights,Kennedy,4.30622009569378,18
Echelon Insights,Manchin,0.9569377990430622,4
Echelon Insights,McConaughey,0.4784688995215311,2
Echelon Insights,Newsom,0.23923444976076555,1
Echelon Insights,Oliver,2.631578947368421,11
Echelon Insights,Pence,0.23923444976076555,1
Echelon Insights,Romney,0.4784688995215311,2
Echelon Insights,Scott,0.23923444976076555,1
Echelon Insights,Stein,4.30622009569378,18
Echelon Insights,Swift,0.23923444976076555,1
Echelon Insights,Trump,28.947368421052634,121
Echelon Insights,West,4.545454545454546,19
Echelon Insights,Whitmer,0.23923444976076555,1
Echelon Insights,Yang,0.7177033492822966,3
Echelon Insights/GBAO,Harris,50,1
Echelon Insights/GBAO,Trump,50,1
Elon U.,Harris,50,1
Elon U.,Trump,50,1
Elway,Biden,25,3
Elway,Harris,16.666666666666664,2
Elway,Kennedy,8.333333333333332,1
Elway,Trump,41.66666666666667,5
Elway,West,8.333333333333332,1
Embold Research,Biden,18.181818181818183,2
Embold Research,Harris,27.27272727272727,3
Embold Research,Kennedy,9.090909090909092,1
Embold Research,Trump,45.45454545454545,5
Emerson,Biden,29.038652130822594,293
Emerson,Buttigieg,0.09910802775024777,1
Emerson,Cheney,0.09910802775024777,1
Emerson,Clinton,0.09910802775024777,1
Emerson,Cuban,0.09910802775024777,1
Emerson,DeSantis,1.4866204162537164,15
Emerson,Gore,0.09910802775024777,1
Emerson,Haley,0.6937561942517344,7
Emerson,Harris,6.739345887016849,68
Emerson,Kennedy,7.135777998017839,72
Emerson,Musk,0.09910802775024777,1
Emerson,Newsom,0.8919722497522299,9
Emerson,Oliver,1.6848364717542121,17
Emerson,Romney,0.19821605550049554,2
Emerson,Sanders,0.39643211100099107,4
Emerson,Shapiro,0.09910802775024777,1
Emerson,Stein,7.036669970267592,71
Emerson,Sununu,0.09910802775024777,1
Emerson,Swift,0.09910802775024777,1
Emerson,Trump,35.4806739345887,358
Emerson,Warren,0.19821605550049554,2
Emerson,West,7.829534192269574,79
Emerson,Whitmer,0.29732408325074333,3
Fabrizio,Biden,31.03448275862069,9
Fabrizio,Harris,6.896551724137931,2
Fabrizio,Kennedy,6.896551724137931,2
Fabrizio,Mapstead,6.896551724137931,2
Fabrizio,Stein,6.896551724137931,2
Fabrizio,Trump,37.93103448275862,11
Fabrizio,West,3.4482758620689653,1
Fabrizio Ward,Harris,40,6
Fabrizio Ward,Kennedy,20,3
Fabrizio Ward,Trump,40,6
Fabrizio/David Binder Research,Harris,50,1
Fabrizio/David Binder Research,Trump,50,1
Fabrizio/GBAO,Biden,16.230366492146597,31
Fabrizio/GBAO,DeSantis,0.5235602094240838,1
Fabrizio/GBAO,Haley,0.5235602094240838,1
Fabrizio/GBAO,Harris,9.424083769633508,18
Fabrizio/GBAO,Kennedy,9.424083769633508,18
Fabrizio/GBAO,Manchin,1.0471204188481675,2
Fabrizio/GBAO,Mapstead,8.900523560209423,17
Fabrizio/GBAO,Oliver,5.2356020942408374,10
Fabrizio/GBAO,Stein,13.612565445026178,26
Fabrizio/GBAO,Trump,24.60732984293194,47
Fabrizio/GBAO,West,10.471204188481675,20
Fabrizio/Impact,Biden,14.678899082568808,16
Fabrizio/Impact,DeSantis,0.9174311926605505,1
Fabrizio/Impact,Harris,16.51376146788991,18
Fabrizio/Impact,Kennedy,8.256880733944955,9
Fabrizio/Impact,Oliver,11.926605504587156,13
Fabrizio/Impact,Stein,11.926605504587156,13
Fabrizio/Impact,Terry,0.9174311926605505,1
Fabrizio/Impact,Trump,30.275229357798167,33
Fabrizio/Impact,West,4.587155963302752,5
Fabrizio/McLaughlin,Harris,50,7
Fabrizio/McLaughlin,Trump,50,7
Fairleigh Dickinson,Harris,50,2
Fairleigh Dickinson,Trump,50,2
Faucheux Strategies,Biden,28.57142857142857,2
Faucheux Strategies,Kennedy,14.285714285714285,1
Faucheux Strategies,Stein,14.285714285714285,1
Faucheux Strategies,Trump,28.57142857142857,2
Faucheux Strategies,West,14.285714285714285,1
Fleming & Associates,Biden,50,1
Fleming & Associates,Trump,50,1
Florida Atlantic University,Biden,50,1
Florida Atlantic University,Trump,50,1
Florida Atlantic University/Mainstreet Research,Biden,30.201342281879196,90
Florida Atlantic University/Mainstreet Research,DeSantis,0.6711409395973155,2
Florida Atlantic University/Mainstreet Research,Harris,12.751677852348994,38
Florida Atlantic University/Mainstreet Research,Kennedy,14.093959731543624,42
Florida Atlantic University/Mainstreet Research,Trump,42.281879194630875,126
Focaldata,Biden,4.761904761904762,12
Focaldata,Harris,23.809523809523807,60
Focaldata,Kennedy,8.333333333333332,21
Focaldata,Oliver,17.857142857142858,45
Focaldata,Stein,16.666666666666664,42
Focaldata,Trump,28.57142857142857,72
Franklin and Marshall College,Biden,25.925925925925924,7
Franklin and Marshall College,Harris,7.4074074074074066,2
Franklin and Marshall College,Kennedy,11.11111111111111,3
Franklin and Marshall College,Oliver,7.4074074074074066,2
Franklin and Marshall College,Stein,14.814814814814813,4
Franklin and Marshall College,Trump,33.33333333333333,9
GQR,Biden,28.57142857142857,4
GQR,DeSantis,14.285714285714285,2
GQR,Harris,14.285714285714285,2
GQR,Oliver,14.285714285714285,2
GQR,Trump,28.57142857142857,4
GS Strategy Group,Biden,33.33333333333333,2
GS Strategy Group,Haley,16.666666666666664,1
GS Strategy Group,Kennedy,16.666666666666664,1
GS Strategy Group,Trump,33.33333333333333,2
Gateway Political Strategies,Harris,50,1
Gateway Political Strategies,Trump,50,1
Glengariff Group Inc.,Biden,7.894736842105263,3
Glengariff Group Inc.,Cheney,2.631578947368421,1
Glengariff Group Inc.,Haley,2.631578947368421,1
Glengariff Group Inc.,Harris,7.894736842105263,3
Glengariff Group Inc.,Kennedy,13.157894736842104,5
Glengariff Group Inc.,Mapstead,2.631578947368421,1
Glengariff Group Inc.,Newsom,5.263157894736842,2
Glengariff Group Inc.,Oliver,10.526315789473683,4
Glengariff Group Inc.,Stein,15.789473684210526,6
Glengariff Group Inc.,Trump,23.684210526315788,9
Glengariff Group Inc.,West,2.631578947368421,1
Glengariff Group Inc.,Whitmer,5.263157894736842,2
Global Strategy Group,Biden,30.76923076923077,4
Global Strategy Group,Harris,7.6923076923076925,1
Global Strategy Group,Kennedy,7.6923076923076925,1
Global Strategy Group,Stein,7.6923076923076925,1
Global Strategy Group,Trump,38.46153846153847,5
Global Strategy Group,West,7.6923076923076925,1
Global Strategy Group/North Star Opinion Research,Harris,25,14
Global Strategy Group/North Star Opinion Research,Kennedy,12.5,7
Global Strategy Group/North Star Opinion Research,Oliver,12.5,7
Global Strategy Group/North Star Opinion Research,Stein,12.5,7
Global Strategy Group/North Star Opinion Research,Trump,25,14
Global Strategy Group/North Star Opinion Research,West,12.5,7
Gonzales Research & Media Services,Biden,42.857142857142854,9
Gonzales Research & Media Services,DeSantis,9.523809523809524,2
Gonzales Research & Media Services,Haley,9.523809523809524,2
Gonzales Research & Media Services,Harris,4.761904761904762,1
Gonzales Research & Media Services,Kennedy,4.761904761904762,1
Gonzales Research & Media Services,Ramaswamy,4.761904761904762,1
Gonzales Research & Media Services,Trump,23.809523809523807,5
Gravis Marketing (post 2020),Biden,25,1
Gravis Marketing (post 2020),Mapstead,25,1
Gravis Marketing (post 2020),Trump,25,1
Gravis Marketing (post 2020),West,25,1
Harris Poll,Biden,16.666666666666664,8
Harris Poll,Buttigieg,2.083333333333333,1
Harris Poll,DeSantis,16.666666666666664,8
Harris Poll,Harris,31.25,15
Harris Poll,Pompeo,2.083333333333333,1
Harris Poll,Scott,2.083333333333333,1
Harris Poll,Trump,29.166666666666668,14
HarrisX,Biden,21.311475409836063,52
HarrisX,DeSantis,0.4098360655737705,1
HarrisX,Haley,0.4098360655737705,1
HarrisX,Harris,12.704918032786885,31
HarrisX,Kennedy,12.295081967213115,30
HarrisX,Stein,9.01639344262295,22
HarrisX,Trump,33.19672131147541,81
HarrisX,West,10.655737704918032,26
HarrisX/Harris Poll,Biden,23.809523809523807,65
HarrisX/Harris Poll,DeSantis,10.622710622710622,29
HarrisX/Harris Poll,Haley,4.761904761904762,13
HarrisX/Harris Poll,Harris,17.94871794871795,49
HarrisX/Harris Poll,Kennedy,7.326007326007327,20
HarrisX/Harris Poll,Pence,0.7326007326007326,2
HarrisX/Harris Poll,Ramaswamy,0.7326007326007326,2
HarrisX/Harris Poll,Scott,0.7326007326007326,2
HarrisX/Harris Poll,Stein,4.395604395604396,12
HarrisX/Harris Poll,Trump,24.175824175824175,66
HarrisX/Harris Poll,West,4.761904761904762,13
Hart Research Associates,Biden,50,1
Hart Research Associates,Trump,50,1
Hart/POS,Biden,26.229508196721312,16
Hart/POS,DeSantis,3.278688524590164,2
Hart/POS,Haley,3.278688524590164,2
Hart/POS,Harris,9.836065573770492,6
Hart/POS,Kennedy,6.557377049180328,4
Hart/POS,Oliver,4.918032786885246,3
Hart/POS,Stein,6.557377049180328,4
Hart/POS,Terry,3.278688524590164,2
Hart/POS,Trump,29.508196721311474,18
Hart/POS,West,6.557377049180328,4
Hendrix College,Harris,20,1
Hendrix College,Kennedy,20,1
Hendrix College,Oliver,20,1
Hendrix College,Stein,20,1
Hendrix College,Trump,20,1
High Point University,Biden,33.33333333333333,4
High Point University,Harris,16.666666666666664,2
High Point University,Trump,50,6
HighGround,Harris,50,2
HighGround,Trump,50,2
Hoffman Research,Harris,33.33333333333333,2
Hoffman Research,Kennedy,16.666666666666664,1
Hoffman Research,Stein,16.666666666666664,1
Hoffman Research,Trump,33.33333333333333,2
Hunt Research,Harris,33.33333333333333,2
Hunt Research,Oliver,16.666666666666664,1
Hunt Research,Stein,16.666666666666664,1
Hunt Research,Trump,33.33333333333333,2
Impact Research,Harris,50,1
Impact Research,Trump,50,1
Innovative Research Group,Biden,33.33333333333333,1
Innovative Research Group,Kennedy,33.33333333333333,1
Innovative Research Group,Trump,33.33333333333333,1
InsiderAdvantage,Biden,12.903225806451612,8
InsiderAdvantage,Harris,37.096774193548384,23
InsiderAdvantage,Trump,50,31
Ipsos,Beshear,0.5076142131979695,2
Ipsos,Biden,23.85786802030457,94
Ipsos,Cheney,0.5076142131979695,2
Ipsos,Cruz,0.25380710659898476,1
Ipsos,DeSantis,2.7918781725888326,11
Ipsos,Haley,1.2690355329949239,5
Ipsos,Harris,13.451776649746192,53
Ipsos,Kennedy,8.375634517766498,33
Ipsos,M. Obama,0.5076142131979695,2
Ipsos,Newsom,0.5076142131979695,2
Ipsos,Oliver,2.5380710659898478,10
Ipsos,Phillips,0.5076142131979695,2
Ipsos,Pritzker,0.5076142131979695,2
Ipsos,Ramaswamy,0.25380710659898476,1
Ipsos,Stein,3.5532994923857872,14
Ipsos,Trump,36.54822335025381,144
Ipsos,West,3.5532994923857872,14
Ipsos,Whitmer,0.5076142131979695,2
Iron Light,Biden,22.22222222222222,2
Iron Light,Harris,11.11111111111111,1
Iron Light,Kennedy,33.33333333333333,3
Iron Light,Trump,33.33333333333333,3
J.L. Partners,Biden,26.785714285714285,30
J.L. Partners,Christie,0.8928571428571428,1
J.L. Partners,DeSantis,4.464285714285714,5
J.L. Partners,Haley,1.7857142857142856,2
J.L. Partners,Harris,5.357142857142857,6
J.L. Partners,Kennedy,9.821428571428571,11
J.L. Partners,M. Obama,0.8928571428571428,1
J.L. Partners,Newsom,0.8928571428571428,1
J.L. Partners,Oliver,4.464285714285714,5
J.L. Partners,Pence,1.7857142857142856,2
J.L. Partners,Ramaswamy,0.8928571428571428,1
J.L. Partners,Scott,0.8928571428571428,1
J.L. Partners,Stein,8.928571428571429,10
J.L. Partners,Trump,23.214285714285715,26
J.L. Partners,West,8.928571428571429,10
John Zogby Strategies,Biden,25.581395348837212,55
John Zogby Strategies,Kennedy,47.906976744186046,103
John Zogby Strategies,Segal,0.46511627906976744,1
John Zogby Strategies,Trump,26.046511627906977,56
KAConsulting LLC,Biden,25,6
KAConsulting LLC,Kennedy,12.5,3
KAConsulting LLC,Mapstead,12.5,3
KAConsulting LLC,Stein,12.5,3
KAConsulting LLC,Trump,25,6
KAConsulting LLC,West,12.5,3
Kaiser Family Foundation,Biden,40,4
Kaiser Family Foundation,Harris,10,1
Kaiser Family Foundation,Trump,50,5
Kaplan Strategies,Biden,36.84210526315789,7
Kaplan Strategies,Harris,10.526315789473683,2
Kaplan Strategies,Stein,5.263157894736842,1
Kaplan Strategies,Trump,47.368421052631575,9
Keating Research,Harris,50,1
Keating Research,Trump,50,1
Lake Research,Harris,37.5,3
Lake Research,Oliver,12.5,1
Lake Research,Stein,12.5,1
Lake Research,Trump,37.5,3
Landmark Communications,Harris,25,2
Landmark Communications,Kennedy,12.5,1
Landmark Communications,Oliver,12.5,1
Landmark Communications,Stein,12.5,1
Landmark Communications,Trump,25,2
Landmark Communications,West,12.5,1
Leger,Biden,29.310344827586203,17
Leger,DeSantis,1.7241379310344827,1
Leger,Harris,10.344827586206897,6
Leger,Kennedy,6.896551724137931,4
Leger,Stein,6.896551724137931,4
Leger,Trump,37.93103448275862,22
Leger,West,6.896551724137931,4
Let's Preserve the American Dream,Biden,33.33333333333333,2
Let's Preserve the American Dream,Kennedy,16.666666666666664,1
Let's Preserve the American Dream,Trump,33.33333333333333,2
Let's Preserve the American Dream,West,16.666666666666664,1
Lord Ashcroft Polls,Biden,34.523809523809526,29
Lord Ashcroft Polls,Christie,1.1904761904761905,1
Lord Ashcroft Polls,DeSantis,5.952380952380952,5
Lord Ashcroft Polls,Haley,5.952380952380952,5
Lord Ashcroft Polls,Harris,4.761904761904762,4
Lord Ashcroft Polls,Kennedy,7.142857142857142,6
Lord Ashcroft Polls,Pence,1.1904761904761905,1
Lord Ashcroft Polls,Ramaswamy,3.571428571428571,3
Lord Ashcroft Polls,Scott,1.1904761904761905,1
Lord Ashcroft Polls,Stein,7.142857142857142,6
Lord Ashcroft Polls,Trump,20.238095238095237,17
Lord Ashcroft Polls,West,7.142857142857142,6
MRG (Marketing Resource Group),Biden,19.047619047619047,4
MRG (Marketing Resource Group),Harris,4.761904761904762,1
MRG (Marketing Resource Group),Kennedy,9.523809523809524,2
MRG (Marketing Resource Group),Kishore,4.761904761904762,1
MRG (Marketing Resource Group),Oliver,4.761904761904762,1
MRG (Marketing Resource Group),Stein,9.523809523809524,2
MRG (Marketing Resource Group),Terry,4.761904761904762,1
MRG (Marketing Resource Group),Trump,28.57142857142857,6
MRG (Marketing Resource Group),West,9.523809523809524,2
MRG (Marketing Resource Group),Whitmer,4.761904761904762,1
Manhattan Institute,Biden,15.384615384615385,4
Manhattan Institute,Harris,7.6923076923076925,2
Manhattan Institute,Kennedy,11.538461538461538,3
Manhattan Institute,Oliver,11.538461538461538,3
Manhattan Institute,Stein,11.538461538461538,3
Manhattan Institute,Trump,26.923076923076923,7
Manhattan Institute,West,11.538461538461538,3
Manhattan Institute,Whitmer,3.8461538461538463,1
Marist,Biden,19.393939393939394,32
Marist,DeSantis,0.6060606060606061,1
Marist,Haley,1.2121212121212122,2
Marist,Harris,16.969696969696972,28
Marist,Kennedy,9.090909090909092,15
Marist,Newsom,0.6060606060606061,1
Marist,Oliver,3.6363636363636362,6
Marist,Stein,6.0606060606060606,10
Marist,Trump,35.75757575757576,59
Marist,West,6.0606060606060606,10
Marist,Whitmer,0.6060606060606061,1
Marquette Law School,Biden,27.33812949640288,76
Marquette Law School,De la Cruz,0.7194244604316548,2
Marquette Law School,DeSantis,7.553956834532374,21
Marquette Law School,Haley,2.5179856115107913,7
Marquette Law School,Harris,7.1942446043165464,20
Marquette Law School,Kennedy,7.913669064748201,22
Marquette Law School,Oliver,4.316546762589928,12
Marquette Law School,Pence,0.3597122302158274,1
Marquette Law School,Stein,7.913669064748201,22
Marquette Law School,Terry,2.158273381294964,6
Marquette Law School,Trump,24.100719424460433,67
Marquette Law School,West,7.913669064748201,22
Mason-Dixon,Biden,29.411764705882355,5
Mason-Dixon,Harris,11.76470588235294,2
Mason-Dixon,Kennedy,17.647058823529413,3
Mason-Dixon,Trump,41.17647058823529,7
MassINC Polling Group,Biden,2.7777777777777777,1
MassINC Polling Group,Harris,25,9
MassINC Polling Group,Kennedy,13.88888888888889,5
MassINC Polling Group,Oliver,8.333333333333332,3
MassINC Polling Group,Stein,11.11111111111111,4
MassINC Polling Group,Trump,27.77777777777778,10
MassINC Polling Group,West,11.11111111111111,4
McCourtney Institute/YouGov,Harris,50,1
McCourtney Institute/YouGov,Trump,50,1
McLaughlin,Biden,22.448979591836736,77
McLaughlin,Buttigieg,0.2915451895043732,1
McLaughlin,Clinton,0.8746355685131195,3
McLaughlin,Harris,10.787172011661808,37
McLaughlin,Kennedy,6.997084548104956,24
McLaughlin,Manchin,2.0408163265306123,7
McLaughlin,Mapstead,3.498542274052478,12
McLaughlin,Oliver,2.623906705539359,9
McLaughlin,P. Murphy,0.2915451895043732,1
McLaughlin,Stein,7.288629737609329,25
McLaughlin,Trump,34.40233236151604,118
McLaughlin,Trump Jr.,0.2915451895043732,1
